DISTRICT,NEXT DISTRICT,mean_relative_deviation,n_samples,y_true_mean
Kowloon City North,Yau Tsim Mong South,0.21719337900703758,364,8.762362637362637
Tsing Yi,Kwai Chung East,0.21711454743244923,106,7.9245283018867925
Kwun Tong North,Sham Shui Po West,0.21685051354286367,26,10.38846153846154
Tuen Mun North,Kwai Chung East,0.21663863028533306,19,9.4
Tai Po South,Sha Tin South,0.21663512889072714,22,12.431818181818182
Tai Pak,Kwun Tong Southeast,0.21638340117317484,40,17.080000000000002
Yuen Long Town Centre,Yau Tsim Mong North,0.21626918318544763,29,7.486206896551723
Tseung Kwan O South,Yau Tsim Mong South,0.21606155615011957,61,13.598360655737705
Sham Shui Po West,Kowloon City South,0.2154984900926623,74,6.960810810810811
Sai Kung and Hang Hau,Kowloon City North,0.21493079045041966,96,10.916666666666666
Kowloon City North,Southern District Southeast,0.21484894921148406,37,19.216216216216218
Tsuen Wan Southeast,Tsing Yi,0.2137109480956311,65,9.501538461538463
Tuen Mun West,Yau Tsim Mong North,0.21371031072967214,16,12.125
Sham Shui Po West,Kwai Chung West,0.21370127163459174,113,9.221238938053098
Kowloon City North,Wong Tai Sin East,0.21353294571041068,205,7.714634146341464
Sham Shui Po East,Kwun Tong Central,0.21263828239717691,140,8.49357142857143
Yau Tsim Mong North,Sha Tin West,0.2126122833424614,39,13.058974358974359
Tin Shui Wai South and Ping Ha,Islands,0.21236822836417854,164,18.796341463414635
Yuen Long Town Centre,Tuen Mun East,0.21226480903759626,32,16.903125
Kwun Tong West,Kowloon City North,0.21185078817977193,277,8.435740072202165
Southern District Northwest,Western,0.21120043800002133,766,8.817885117493473
