Origin Station,Origin X_coord,Origin Y_coord,Destination Station,Destination X_coord,Destination Y_coord,Distance (km)
Yuen Long,22.44597,114.035385,Long Ping,22.447583,114.025434,1.0599106656207915
Long Ping,22.447583,114.025434,Yuen Long,22.44597,114.035385,1.0599106656207915
Long Ping,22.447583,114.025434,Tin Shui Wai,22.448352,114.005003,2.285867419247388
Tin Shui Wai,22.448352,114.005003,Long Ping,22.447583,114.025434,2.285867419247388
Tin Shui Wai,22.448352,114.005003,Siu Hong,22.411902,113.979055,4.997030310014895
Siu Hong,22.411902,113.979055,Tin Shui Wai,22.448352,114.005003,4.997030310014895
Siu Hong,22.411902,113.979055,Tuen Mun,22.395284,113.973321,1.9377540893694352
Tuen Mun,22.395284,113.973321,Siu Hong,22.411902,113.979055,1.9377540893694352
Hong Kong,22.285147,114.158455,Kowloon,22.304897,114.161696,2.5817915258708433
Kowloon,22.304897,114.161696,Hong Kong,22.285147,114.158455,2.5817915258708433
Kowloon,22.304897,114.161696,Olympic,22.317703,114.160411,1.4905526543067156
Olympic,22.317703,114.160411,Kowloon,22.304897,114.161696,1.4905526543067156
Olympic,22.317703,114.160411,Nam Cheong,22.326389,114.153686,1.1950588498017574
Nam Cheong,22.326389,114.153686,Olympic,22.317703,114.160411,1.1950588498017574
Nam Cheong,22.326389,114.153686,Lai King,22.348414,114.12604,3.9161583460202567
Lai King,22.348414,114.12604,Nam Cheong,22.326389,114.153686,3.9161583460202567
Lai King,22.348414,114.12604,Tsing Yi,22.358386,114.107431,2.266011813177794
Tsing Yi,22.358386,114.107431,Lai King,22.348414,114.12604,2.266011813177794
Tsing Yi,22.358386,114.107431,Sunny Bay,22.331931,114.028782,8.822022373034205
Sunny Bay,22.331931,114.028782,Tsing Yi,22.358386,114.107431,8.822022373034205
Sunny Bay,22.331931,114.028782,Tung Chung,22.289278,113.941322,10.491456650437344
Tung Chung,22.289278,113.941322,Sunny Bay,22.331931,114.028782,10.491456650437344
Central,,,Hong Kong,,,0.0
Hong Kong,,,Central,,,0.0
