Origin Station,Origin Station Number,Origin Latitude,Origin Longitude,Origin Constituency,Origin District,Destination Station,Destination Station Number,Destination Latitude,Destination Longitude,Destination Constituency,Destination District,Total Travel Time (mins),Total Distance (km),Fare (HKD),No. of Stations,Full Route
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Shek Kip Mei,7,22.331998,114.169571,Sham Shui Po East,Sham Shui Po,43,32.190683214800124,65.0,10,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Prince Edward,16,22.324433,114.168334,Yau Tsim Mong North,Yau Tsim Mong,40,31.309752088569656,65.0,9,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Mong Kok,6,22.319336,114.169246,Yau Tsim Mong North,Yau Tsim Mong,42,31.839383433051047,65.0,10,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Mong Kok
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Yau Ma Tei,5,22.31282,114.170963,Yau Tsim Mong South,Yau Tsim Mong,44,32.537868462857496,65.0,11,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Mong Kok -> Yau Ma Tei
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Ho Man Tin,84,22.309521,114.182839,Kowloon City South,Kowloon City,47,36.09689092325715,65.0,9,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Austin -> East Tsim Sha Tsui -> Hung Hom -> Ho Man Tin
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Whampoa,85,22.305079,114.189438,Kowloon City South,Kowloon City,50,35.23156728323669,65.0,13,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Mong Kok -> Yau Ma Tei -> Ho Man Tin -> Whampoa
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Wu Kai Sha,103,22.429473,114.243664,Sha Tin North,Sha Tin,77,47.99309355428873,65.0,20,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One -> Shek Mun -> Tai Shui Hang -> Heng On -> Ma On Shan -> Wu Kai Sha
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Ma On Shan,102,22.424894,114.231924,Sha Tin North,Sha Tin,75,46.63494116964861,65.0,19,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One -> Shek Mun -> Tai Shui Hang -> Heng On -> Ma On Shan
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Heng On,101,22.418204,114.225857,Sha Tin North,Sha Tin,72,45.53036449228708,65.0,18,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One -> Shek Mun -> Tai Shui Hang -> Heng On
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Tai Shui Hang,100,22.408445,114.222614,Sha Tin East,Sha Tin,70,44.456869249005926,65.0,17,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One -> Shek Mun -> Tai Shui Hang
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Shek Mun,99,22.387678,114.208653,Sha Tin East,Sha Tin,67,41.55783938622975,65.0,16,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One -> Shek Mun
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,City One,98,22.382877,114.203353,Sha Tin East,Sha Tin,65,40.83724104760902,65.0,15,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Che Kung Temple -> Sha Tin Wai -> City One
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Sha Tin Wai,97,22.377073,114.194856,Sha Tin East,Sha Tin,63,39.70202805768911,65.0,14,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Che Kung Temple -> Sha Tin Wai
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Che Kung Temple,96,22.374846,114.186262,Sha Tin South,Sha Tin,61,38.7380826770137,65.0,13,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo -> Lai Chi Kok -> Cheung Sha Wan -> Sham Shui Po -> Prince Edward -> Shek Kip Mei -> Kowloon Tong -> Tai Wai -> Che Kung Temple
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Hin Keng,90,22.363972,114.170774,Sha Tin South,Sha Tin,60,44.923481967808705,65.0,14,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Austin -> East Tsim Sha Tsui -> Hung Hom -> Ho Man Tin -> To Kwa Wan -> Sung Wong Toi -> Kai Tak -> Diamond Hill -> Hin Keng
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Kai Tak,91,22.330498,114.199368,Kowloon City North,Kowloon City,53,39.23032329355415,65.0,12,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Austin -> East Tsim Sha Tsui -> Hung Hom -> Ho Man Tin -> To Kwa Wan -> Sung Wong Toi -> Kai Tak
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Sung Wong Toi,92,22.32595,114.191175,Kowloon City North,Kowloon City,51,38.29070321869932,65.0,11,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Austin -> East Tsim Sha Tsui -> Hung Hom -> Ho Man Tin -> To Kwa Wan -> Sung Wong Toi
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,To Kwa Wan,93,22.317174,114.187573,Kowloon City North,Kowloon City,49,37.15800128750828,65.0,10,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Austin -> East Tsim Sha Tsui -> Hung Hom -> Ho Man Tin -> To Kwa Wan
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,East Tsim Sha Tsui,80,22.296482,114.173505,Yau Tsim Mong South,Yau Tsim Mong,42,34.10074163138684,65.0,7,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Austin -> East Tsim Sha Tsui
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Austin,111,22.303331,114.16886,Yau Tsim Mong South,Yau Tsim Mong,39,32.49335665071602,65.0,6,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Austin
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Nam Cheong,53,22.326433,114.1537,Sham Shui Po West,Sham Shui Po,32,29.656521255813058,65.0,5,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Mei Foo,20,22.338436,114.138433,Sham Shui Po West,Sham Shui Po,32,27.54444563568604,65.0,5,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Mei Foo
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Tsuen Wan West,114,22.368055,114.10954,Tsuen Wan Northwest,Tsuen Wan,41,36.411461142896044,65.0,7,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Mei Foo -> Tsuen Wan West
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Kam Sheung Road,115,22.434474,114.063342,Yuen Long Rural East,Yuen Long,47,45.32399349007535,65.0,8,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road
AsiaWorld-Expo,56,22.321713,113.942717,Islands,Islands,Yuen Long,116,22.446091,114.034873,Yuen Long Town Centre,Yuen Long,50,48.837589280823494,65.0,9,AsiaWorld-Expo -> Airport -> Tsing Yi -> Lai King -> Nam Cheong -> Mei Foo -> Tsuen Wan West -> Kam Sheung Road -> Yuen Long
