Origin Station,Origin District,Destination Station,Destination District,Route Travel Time (mins),Fare (HKD),Full Route
Ma On Shan,Sha Tin,Lok Ma Chau,Yuen Long,53,33.0,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Sha Tin -> Fo Tan -> University -> Tai Po Market -> Tai Wo -> Fanling -> Sheung Shui -> Lok Ma Chau
Ma On Shan,Sha Tin,Chai Wan,Eastern,60,22.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay -> Tai Koo -> Sai Wan Ho -> Shau Kei Wan -> Heng Fa Chuen -> Chai Wan
Ma On Shan,Sha Tin,Heng Fa Chuen,Eastern,58,22.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay -> Tai Koo -> Sai Wan Ho -> Shau Kei Wan -> Heng Fa Chuen
Ma On Shan,Sha Tin,Shau Kei Wan,Eastern,56,22.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay -> Tai Koo -> Sai Wan Ho -> Shau Kei Wan
Ma On Shan,Sha Tin,Sai Wan Ho,Eastern,54,22.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay -> Tai Koo -> Sai Wan Ho
Ma On Shan,Sha Tin,Tai Koo,Eastern,52,22.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill -> North Point -> Quarry Bay -> Tai Koo
Ma On Shan,Sha Tin,Quarry Bay,Eastern,46,22.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Choi Hung -> Kowloon Bay -> Ngau Tau Kok -> Kwun Tong -> Lam Tin -> Yau Tong -> Quarry Bay
Ma On Shan,Sha Tin,North Point,Eastern,48,22.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Choi Hung -> Kowloon Bay -> Ngau Tau Kok -> Kwun Tong -> Lam Tin -> Yau Tong -> Quarry Bay -> North Point
Ma On Shan,Sha Tin,Fortress Hill,Eastern,46,22.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau -> Fortress Hill
Ma On Shan,Sha Tin,Tin Hau,Wan Chai,45,22.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Wan Chai -> Causeway Bay -> Tin Hau
Ma On Shan,Sha Tin,Causeway Bay,Wan Chai,43,20.8,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Wan Chai -> Causeway Bay
Ma On Shan,Sha Tin,Wan Chai,Wan Chai,40,20.8,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Wan Chai
Ma On Shan,Sha Tin,Central,Central and Western,40,20.8,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Central
Ma On Shan,Sha Tin,Sheung Wan,Central and Western,42,20.8,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Central -> Sheung Wan
Ma On Shan,Sha Tin,Sai Ying Pun,Central and Western,44,20.8,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Central -> Sheung Wan -> Sai Ying Pun
Ma On Shan,Sha Tin,HKU,Central and Western,45,22.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Central -> Sheung Wan -> Sai Ying Pun -> HKU
Ma On Shan,Sha Tin,Kennedy Town,Central and Western,47,22.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> Exhibition Centre -> Admiralty -> Central -> Sheung Wan -> Sai Ying Pun -> HKU -> Kennedy Town
Ma On Shan,Sha Tin,Tiu Keng Leng,Sai Kung,44,15.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Choi Hung -> Kowloon Bay -> Ngau Tau Kok -> Kwun Tong -> Lam Tin -> Yau Tong -> Tiu Keng Leng
Ma On Shan,Sha Tin,Yau Tong,Kwun Tong,41,15.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Choi Hung -> Kowloon Bay -> Ngau Tau Kok -> Kwun Tong -> Lam Tin -> Yau Tong
Ma On Shan,Sha Tin,Lam Tin,Kwun Tong,39,15.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Choi Hung -> Kowloon Bay -> Ngau Tau Kok -> Kwun Tong -> Lam Tin
Ma On Shan,Sha Tin,Kwun Tong,Kwun Tong,37,13.3,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Choi Hung -> Kowloon Bay -> Ngau Tau Kok -> Kwun Tong
Ma On Shan,Sha Tin,Ngau Tau Kok,Kwun Tong,35,13.3,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Choi Hung -> Kowloon Bay -> Ngau Tau Kok
Ma On Shan,Sha Tin,Kowloon Bay,Kwun Tong,33,13.3,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Choi Hung -> Kowloon Bay
Ma On Shan,Sha Tin,Choi Hung,Wong Tai Sin,30,12.0,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Choi Hung
Ma On Shan,Sha Tin,Diamond Hill,Wong Tai Sin,24,12.0,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill
Ma On Shan,Sha Tin,Wong Tai Sin,Wong Tai Sin,30,10.7,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Wong Tai Sin
Ma On Shan,Sha Tin,Lok Fu,Wong Tai Sin,30,10.7,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Lok Fu
Ma On Shan,Sha Tin,Shek Kip Mei,Sham Shui Po,30,10.7,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei
Ma On Shan,Sha Tin,Prince Edward,Yau Tsim Mong,32,10.7,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward
Ma On Shan,Sha Tin,Mong Kok,Yau Tsim Mong,34,12.0,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Mong Kok
Ma On Shan,Sha Tin,Yau Ma Tei,Yau Tsim Mong,36,12.0,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Mong Kok -> Yau Ma Tei
Ma On Shan,Sha Tin,Ho Man Tin,Kowloon City,32,13.3,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Kai Tak -> Sung Wong Toi -> To Kwa Wan -> Ho Man Tin
Ma On Shan,Sha Tin,Whampoa,Kowloon City,39,14.2,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Kai Tak -> Sung Wong Toi -> To Kwa Wan -> Ho Man Tin -> Whampoa
Ma On Shan,Sha Tin,Wu Kai Sha,Sha Tin,4,4.0,Ma On Shan -> Wu Kai Sha
Ma On Shan,Sha Tin,Heng On,Sha Tin,4,4.0,Ma On Shan -> Heng On
Ma On Shan,Sha Tin,Tai Shui Hang,Sha Tin,6,4.6,Ma On Shan -> Heng On -> Tai Shui Hang
Ma On Shan,Sha Tin,Shek Mun,Sha Tin,9,5.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun
Ma On Shan,Sha Tin,City One,Sha Tin,11,5.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One
Ma On Shan,Sha Tin,Sha Tin Wai,Sha Tin,13,5.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai
Ma On Shan,Sha Tin,Che Kung Temple,Sha Tin,15,5.9,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple
Ma On Shan,Sha Tin,Hin Keng,Sha Tin,19,7.7,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng
Ma On Shan,Sha Tin,Kai Tak,Kowloon City,26,12.0,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Kai Tak
Ma On Shan,Sha Tin,Sung Wong Toi,Kowloon City,28,13.3,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Kai Tak -> Sung Wong Toi
Ma On Shan,Sha Tin,To Kwa Wan,Kowloon City,30,13.3,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Hin Keng -> Diamond Hill -> Kai Tak -> Sung Wong Toi -> To Kwa Wan
Ma On Shan,Sha Tin,East Tsim Sha Tsui,Yau Tsim Mong,34,14.2,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> East Tsim Sha Tsui
Ma On Shan,Sha Tin,Austin,Yau Tsim Mong,37,13.8,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> East Tsim Sha Tsui -> Austin
Ma On Shan,Sha Tin,Nam Cheong,Sham Shui Po,40,11.2,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Mong Kok East -> Hung Hom -> East Tsim Sha Tsui -> Austin -> Nam Cheong
Ma On Shan,Sha Tin,Mei Foo,Sham Shui Po,41,13.8,Ma On Shan -> Heng On -> Tai Shui Hang -> Shek Mun -> City One -> Sha Tin Wai -> Che Kung Temple -> Tai Wai -> Kowloon Tong -> Shek Kip Mei -> Prince Edward -> Sham Shui Po -> Cheung Sha Wan -> Lai Chi Kok -> Mei Foo
